id,Y,X,altitude,name,top,bottom,xx,tt,zz
Z28,39482546.22,3852280.13,37.84,21煤,756.08,757.37,石炭系,上石炭统,太原组
Z28,39482546.22,3852280.13,37.84,22煤,760.17,760.66,石炭系,上石炭统,太原组
Z28,39482546.22,3852280.13,37.84,7煤,523.33,527.03,二叠系,下二叠统,山西组
Z28,39482546.22,3852280.13,37.84,煤,641.75,642.5,石炭系,上石炭统,太原组
Z29,39482247.78,3851173.66,38.64,13下煤,286.75,287.0,石炭系,上石炭统,太原组
Z29,39482247.78,3851173.66,38.64,13煤,272.2,272.5,石炭系,上石炭统,太原组
Z29,39482247.78,3851173.66,38.64,14煤,293.1,293.5,石炭系,上石炭统,太原组
Z29,39482247.78,3851173.66,38.64,15煤,296.7,297.3,石炭系,上石炭统,太原组
Z29,39482247.78,3851173.66,38.64,17煤,300.09,302.14,石炭系,上石炭统,太原组
Z29,39482247.78,3851173.66,38.64,18煤,303.5,304.0,石炭系,上石炭统,太原组
Z29,39482247.78,3851173.66,38.64,21煤,358.88,360.4,石炭系,上石炭统,太原组
Z29,39482247.78,3851173.66,38.64,22煤,364.33,364.83,石炭系,上石炭统,太原组
Z3,39487573.63,3853146.38,36.78,11煤,671.7,672.1,石炭系,上石炭统,太原组
Z3,39487573.63,3853146.38,36.78,13下煤,683.25,683.5,石炭系,上石炭统,太原组
Z3,39487573.63,3853146.38,36.78,13煤,676.05,676.25,石炭系,上石炭统,太原组
Z3,39487573.63,3853146.38,36.78,15煤,692.25,692.65,石炭系,上石炭统,太原组
Z3,39487573.63,3853146.38,36.78,17煤,697.65,699.13,石炭系,上石炭统,太原组
Z3,39487573.63,3853146.38,36.78,18煤,700.3,700.64,石炭系,上石炭统,太原组
Z3,39487573.63,3853146.38,36.78,21煤,740.7,742.13,石炭系,上石炭统,太原组
Z3,39487573.63,3853146.38,36.78,22煤,745.28,745.73,石炭系,上石炭统,太原组
Z3,39487573.63,3853146.38,36.78,7煤,572.4,576.8,二叠系,下二叠统,山西组
Z3,39487573.63,3853146.38,36.78,9煤,600.8,604.9,二叠系,下二叠统,山西组
Z3,39487573.63,3853146.38,36.78,煤,643.55,688.6,石炭系,上石炭统,太原组
Z30,39483546.3,3852311.26,38.25,11煤,494.0,494.4,石炭系,上石炭统,太原组
Z30,39483546.3,3852311.26,38.25,13煤,506.65,506.93,石炭系,上石炭统,太原组
Z30,39483546.3,3852311.26,38.25,14煤,512.44,512.77,石炭系,上石炭统,太原组
Z30,39483546.3,3852311.26,38.25,15煤,515.97,516.34,石炭系,上石炭统,太原组
Z30,39483546.3,3852311.26,38.25,17煤,520.23,521.67,石炭系,上石炭统,太原组
Z30,39483546.3,3852311.26,38.25,18煤,524.33,524.9,石炭系,上石炭统,太原组
Z30,39483546.3,3852311.26,38.25,21煤,571.05,572.27,石炭系,上石炭统,太原组
Z30,39483546.3,3852311.26,38.25,22煤,576.44,576.79,石炭系,上石炭统,太原组
Z30,39483546.3,3852311.26,38.25,7煤,380.43,383.2,二叠系,下二叠统,山西组
Z30,39483546.3,3852311.26,38.25,8煤,412.27,416.2,二叠系,下二叠统,山西组
Z30,39483546.3,3852311.26,38.25,煤,457.3,457.65,石炭系,上石炭统,太原组
Z31,39481757.93,3851151.03,38.8,18煤,333.37,336.9,石炭系,上石炭统,太原组
Z31,39481757.93,3851151.03,38.8,21煤,381.45,382.46,石炭系,上石炭统,太原组
Z31,39481757.93,3851151.03,38.8,煤,288.23,386.25,石炭系,上石炭统,太原组
Z32,39481631.88,3851810.89,37.82,18煤,624.65,626.57,,,
Z32,39481631.88,3851810.89,37.82,21煤,676.25,677.42,,,
Z32,39481631.88,3851810.89,37.82,9煤,530.26,532.33,,,
Z32,39481631.88,3851810.89,37.82,煤,571.59,681.06,,,
Z33,39481359.99,3850798.76,38.78,21煤,331.03,332.48,石炭系,上石炭统,太原组
Z33,39481359.99,3850798.76,38.78,22煤,336.47,337.0,石炭系,上石炭统,太原组
Z34,39480895.0,3850804.04,38.71,13煤,334.79,335.12,石炭系,上石炭统,太原组
Z34,39480895.0,3850804.04,38.71,14煤,340.7,341.17,石炭系,上石炭统,太原组
Z34,39480895.0,3850804.04,38.71,15煤,344.58,344.94,石炭系,上石炭统,太原组
Z34,39480895.0,3850804.04,38.71,17煤,347.35,349.0,石炭系,上石炭统,太原组
