X,Y,top, "ZLEVEL"
3853017.8058461542241, 39479587.949126154184, -850, "-850"
3853020.851858150214, 39479577.663517594337, -850, "-850"
3853036.0211530402303, 39479525.955979906023, -850, "-850"
3853051.2756699216552, 39479474.248442217708, -850, "-850"
3853066.6992139392532, 39479422.540904529393, -850, "-850"
3853068.9146153847687, 39479415.149664200842, -850, "-850"
3853082.8157439478673, 39479370.833366841078, -850, "-850"
3853099.2705946383066, 39479319.125829152763, -850, "-850"
3853116.0413686288521, 39479267.418291464448, -850, "-850"
3853120.0233846157789, 39479255.30291749537, -850, "-850"
3853133.5552191161551, 39479215.710753776133, -850, "-850"
3853151.5426369262859, 39479164.003216087818, -850, "-850"
3853169.9014244084246, 39479112.295678399503, -850, "-850"
3853171.1321538463235, 39479108.875354208052, -850, "-850"
3853189.0967223197222, 39479060.588140711188, -850, "-850"
3853208.6709288512357, 39479008.880603022873, -850, "-850"
3853222.2409230773337, 39478973.573434695601, -850, "-850"
3853228.7363131111488, 39478957.173065334558, -850, "-850"
3853249.4394485279918, 39478905.465527646244, -850, "-850"
3853270.406559263356, 39478853.757989957929, -850, "-850"
3853273.3496923078783, 39478846.559825576842, -850, "-850"
3853292.0329515142366, 39478802.050452269614, -850, "-850"
3853313.9115184000693, 39478750.342914581299, -850, "-850"
3853324.4584615388885, 39478725.558817267418, -850, "-850"
3853336.1986158480868, 39478698.635376892984, -850, "-850"
3853358.8275115457363, 39478646.927839204669, -850, "-850"
3853375.5672307694331, 39478608.777147874236, -850, "-850"
3853381.6537185078487, 39478595.220301516354, -850, "-850"
3853404.8761940523982, 39478543.512763828039, -850, "-850"
3853426.6760000004433, 39478494.95350535959, -850, "-850"
3853428.1205704067834, 39478491.805226139724, -850, "-850"
3853451.7948972312734, 39478440.097688451409, -850, "-850"
3853475.3977123722434, 39478388.390150763094, -850, "-850"
3853477.7847692309879, 39478383.140336401761, -850, "-850"
3853499.3514905450866, 39478336.68261307478, -850, "-850"
3853523.2335279434919, 39478284.975075386465, -850, "-850"
3853528.8935384619981, 39478272.65132202208, -850, "-850"
3853547.3497466216795, 39478233.26753769815, -850, "-850"
3853571.4213136760518, 39478181.560000009835, -850, "-850"
3854091.0900000003166, 39487308.238147087395, -800, "-800"
3854081.184463291429, 39487282.086633175611, -800, "-800"
3854059.9480019137263, 39487230.379095487297, -800, "-800"
3854039.9812307697721, 39487185.811265334487, -800, "-800"
3854036.9450570624322, 39487178.671557798982, -800, "-800"
3854013.4106102818623, 39487126.964020110667, -800, "-800"
3853988.8724615387619, 39487077.564263679087, -800, "-800"
3853987.7975718392991, 39487075.256482422352, -800, "-800"
3853962.2172476612031, 39487023.548944734037, -800, "-800"
3853937.7636923082173, 39486978.144206650555, -800, "-800"
3853934.6798948002979, 39486971.841407045722, -800, "-800"
3853908.0757294544019, 39486920.133869357407, -800, "-800"
3853886.6549230772071, 39486881.006537944078, -800, "-800"
3853880.9082011650316, 39486868.426331669092, -800, "-800"
3853858.5859501212835, 39486816.718793980777, -800, "-800"
3853843.7786244512536, 39486765.011256292462, -800, "-800"
3853843.5896687428467, 39486713.303718596697, -800, "-800"
3853851.7957168263383, 39486661.596180908382, -800, "-800"
3853862.8882260331884, 39486609.888643220067, -800, "-800"
3853874.6975756641477, 39486558.181105531752, -800, "-800"
3853886.510816658847, 39486506.473567843437, -800, "-800"
3853886.6549230772071, 39486505.814137257636, -800, "-800"
3853899.2915957788937, 39486454.766030155122, -800, "-800"
3853911.5507357013412, 39486403.058492466807, -800, "-800"
3853923.4459243337624, 39486351.350954778492, -800, "-800"
3853935.1679759873077, 39486299.643417090178, -800, "-800"
